CaseNo,img_section A,img_section B,img_section C,img_section D,img_section E,img_section F,img_section G,img_section H,cost,CO2,install_duration
1259,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,712175347.12,188.1341,330.841
1260,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,692080899.23,193.6876,354.48759999999993
1261,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,702067723.8,191.32580000000002,339.37879999999996
1262,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,704925795.17,190.4326,340.47219999999993
1263,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,698720027.6700001,192.1175,344.4434
1264,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,708706852.24,189.75570000000002,329.33459999999997
1265,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,711564923.61,188.8625,330.428
1266,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,700620041.31,191.5237,345.1703
1267,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,710606865.88,189.1619,330.06149999999997
1268,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,713464937.25,188.2687,331.1549
1269,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,692556845.8500001,191.0684,342.894
1270,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,702543670.4200001,188.7066,327.7852
1271,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,705401741.7900001,187.8134,328.8786
1272,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,699195974.29,189.4983,332.84979999999996
1273,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,709182798.86,187.1365,317.741
1274,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,712040870.23,186.2433,318.83439999999996
1275,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,701095987.9300001,188.90449999999998,333.57669999999996
1276,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,711082812.5,186.5427,318.4679
1277,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,713940883.87,185.6495,319.56129999999996
1278,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,693082578.0699999,191.2576,343.26689999999996
1279,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,703069402.64,188.8958,328.1581
1280,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,705927474.01,188.0026,329.25149999999996
1281,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,699721706.51,189.6875,333.22270000000003
1282,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,709708531.08,187.3257,318.1139
1283,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,712566602.45,186.4325,319.20730000000003
1284,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,701621720.1500001,189.09369999999998,333.94960000000003
1285,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,711608544.72,186.7319,318.8408
1286,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,714466616.09,185.8387,319.93420000000003
1287,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,694372168.2,191.3922,343.58079999999995
1288,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,704358992.77,189.03040000000001,328.472
1289,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,707217064.14,188.1372,329.56539999999995
1290,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,701011296.6400001,189.8221,333.5366
1291,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,710998121.21,187.46030000000002,318.4278
1292,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,713856192.58,186.5671,319.5212
1293,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,702911310.28,189.2283,334.2635
1294,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,712898134.85,186.8665,319.1547
1295,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,715756206.22,185.9733,320.2481
1296,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,688197878.71,192.8791,353.183
1297,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,698184703.2800001,190.5173,338.0742
1298,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,701042774.6500001,189.6241,339.1676
1299,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,694837007.1500001,191.309,343.13880000000006
1300,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,704823831.72,188.9472,328.03000000000003
1301,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,707681903.09,188.054,329.12340000000006
1302,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,696737020.7900002,190.71519999999998,343.86570000000006
1303,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,706723845.3600001,188.3534,328.75690000000003
1304,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,709581916.7300001,187.4602,329.85030000000006
1305,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,688723610.9300001,193.0683,353.55590000000007
1306,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,698710435.5,190.7065,338.44710000000003
1307,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,701568506.87,189.8133,339.54050000000007
1308,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,695362739.3700001,191.4982,343.5117
1309,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,705349563.94,189.1364,328.40290000000005
1310,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,708207635.3100001,188.2432,329.4963
1311,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,697262753.01,190.90439999999998,344.2386
1312,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,707249577.58,188.5426,329.12980000000005
1313,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,710107648.95,187.64939999999999,330.2232
1314,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,690013201.06,193.2029,353.86980000000005
1315,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,700000025.63,190.8411,338.761
1316,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,702858097.0,189.9479,339.85440000000006
1317,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,696652329.5,191.6328,343.8256
1318,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,706639154.07,189.27100000000002,328.71680000000003
1319,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,709497225.44,188.3778,329.8102
1320,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,698552343.1400001,191.039,344.5525
1321,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,708539167.71,188.6772,329.44370000000004
1322,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,711397239.08,187.784,330.5371
1323,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,691355305.3500001,193.6359,354.3111
1324,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,701342129.9200001,191.2741,339.2023
1325,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,704200201.2900001,190.3809,340.2957
1326,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,697994433.79,192.0658,344.26689999999996
1327,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,707981258.36,189.704,329.1581
1328,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,710839329.73,188.8108,330.25149999999996
1329,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,699894447.4300001,191.47199999999998,344.99379999999996
1330,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,709881272.0,189.1102,329.885
1331,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,712739343.37,188.21699999999998,330.97839999999997
1332,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,691881037.5699999,193.8251,354.68399999999997
1333,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,701867862.14,191.4633,339.5752
1334,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,704725933.51,190.5701,340.66859999999997
1335,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,698520166.01,192.255,344.63980000000004
1336,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,708506990.58,189.8932,329.531
1337,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,711365061.95,189.0,330.62440000000004
1338,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,700420179.6500001,191.66119999999998,345.36670000000004
1339,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,710407004.22,189.2994,330.2579
1340,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,713265075.59,188.40619999999998,331.35130000000004
1341,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,693170627.7,193.9597,354.99789999999996
1342,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,703157452.27,191.5979,339.8891
1343,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,706015523.64,190.7047,340.98249999999996
1344,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,699809756.1400001,192.3896,344.9537
1345,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,709796580.71,190.0278,329.8449
1346,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,712654652.08,189.1346,330.9383
1347,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,701709769.78,191.79579999999999,345.6806
1348,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,711696594.35,189.434,330.5718
1349,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,714554665.72,188.5408,331.6652
1350,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,693646574.3200002,191.3405,343.40430000000003
1351,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,703633398.8900001,188.9787,328.2955
1352,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,706491470.2600001,188.0855,329.38890000000004
1353,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,700285702.76,189.7704,333.3601
1354,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,710272527.33,187.4086,318.2513
1355,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,713130598.7,186.5154,319.3447
1356,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,702185716.4000001,189.17659999999998,334.087
1357,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,712172540.97,186.8148,318.9782
1358,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,715030612.34,185.92159999999998,320.0716
1359,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,694172306.54,191.5297,343.7772
1360,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,704159131.11,189.1679,328.6684
1361,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,707017202.48,188.2747,329.7618
1362,section A.CRM.7.0c.png,section B.CRM.6.0a.png,section C.CRM.6.0c.png,section D.CRM.10.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,700811434.98,189.9596,333.73300000000006
