CaseNo,img_section A,img_section B,img_section C,img_section D,img_section E,img_section F,img_section G,img_section H,cost,CO2,install_duration
20,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,685906475.49,189.14880000000002,358.55589999999995
21,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,679700707.99,190.83370000000002,362.5271
22,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,689687532.56,188.47190000000003,347.4183
23,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,692545603.93,187.57870000000003,348.5117
24,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,681600721.6300001,190.2399,363.254
25,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,691587546.2,187.87810000000002,348.1452
26,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,694445617.57,186.9849,349.2386
27,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,674403683.8399999,192.8368,373.0125999999999
28,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,684390508.41,190.47500000000002,357.90379999999993
29,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,687248579.78,189.58180000000002,358.9971999999999
30,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,681042812.28,191.26670000000001,362.9684
31,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,691029636.85,188.90490000000003,347.85959999999994
32,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,693887708.22,188.01170000000002,348.953
33,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,682942825.9200001,190.6729,363.6953
34,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,692929650.49,188.3111,348.58649999999994
35,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,695787721.86,187.4179,349.6799
36,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,674929416.06,193.026,373.3855
37,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,684916240.63,190.66420000000002,358.27669999999995
38,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,687774312.0,189.77100000000002,359.3701
39,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,681568544.5,191.4559,363.34129999999993
40,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,691555369.0699999,189.09410000000003,348.23249999999996
41,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,694413440.4399999,188.20090000000002,349.32589999999993
42,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,683468558.1400001,190.8621,364.06819999999993
43,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,693455382.71,188.5003,348.95939999999996
44,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,696313454.08,187.6071,350.05279999999993
45,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,676219006.19,193.16060000000002,373.69939999999997
46,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,686205830.76,190.79880000000003,358.59059999999994
47,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,689063902.13,189.90560000000002,359.68399999999997
48,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,682858134.6299999,191.59050000000002,363.6551999999999
49,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,692844959.1999999,189.22870000000003,348.54639999999995
50,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,695703030.5699999,188.33550000000002,349.6397999999999
51,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,684758148.27,190.9967,364.3820999999999
52,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,694744972.8399999,188.63490000000002,349.27329999999995
53,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.10.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,697603044.2099999,187.7417,350.3666999999999
54,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,676694952.81,190.5414,362.10579999999993
55,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,686681777.38,188.17960000000002,346.99699999999996
56,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,689539848.75,187.28640000000001,348.09039999999993
57,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,683334081.25,188.9713,352.0616
58,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,693320905.8199999,186.60950000000003,336.95279999999997
59,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,696178977.1899999,185.71630000000002,338.0462
60,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,685234094.8900001,188.3775,352.7885
61,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,695220919.46,186.0157,337.67969999999997
62,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,698078990.83,185.1225,338.7731
