CaseNo,type,slope,class armour,B,Rc,total_cost,total_CO2,install_duration,img
67,CRMR,30.3,17.08 m³,13.421,8.286,156642.46,0.0443,0.22982,CRMR.69c.png
68,CRMR,30.3,17.08 m³,14.474,7.95,162463.32,0.0332,0.19932,CRMR.70a.png
69,CRMR,30.3,17.08 m³,14.474,7.95,161242.21,0.0358,0.18106,CRMR.70b.png
62,CRMR,30.3,17.08 m³,12.368,8.617,162586.58000000002,0.0329,0.19986,CRMR.68a.png
70,CRMR,30.3,17.08 m³,14.474,7.95,156735.97,0.0445,0.22978,CRMR.70c.png
72,CRMR,30.3,17.08 m³,15.526,7.611,161522.62,0.036,0.18207,CRMR.71b.png
73,CRMR,30.3,17.08 m³,15.526,7.611,157066.49,0.0447,0.23114,CRMR.71c.png
74,CRMR,30.3,17.08 m³,16.579,7.266,162374.73,0.0335,0.20032,CRMR.72a.png
75,CRMR,30.3,17.08 m³,16.579,7.266,161015.12,0.0362,0.18199,CRMR.72b.png
76,CRMR,30.3,17.08 m³,16.579,7.266,156609.53,0.0448,0.2314,CRMR.72c.png
77,CRMR,30.3,17.08 m³,17.632,6.917,162438.86000000002,0.0337,0.19961,CRMR.73a.png
78,CRMR,30.3,17.08 m³,17.632,6.917,160918.24000000002,0.0363,0.18149,CRMR.73b.png
71,CRMR,30.3,17.08 m³,15.526,7.611,162806.37,0.0334,0.20038,CRMR.71a.png
61,CRMR,30.3,17.08 m³,11.316,8.945,156507.08000000002,0.044,0.22797,CRMR.67c.png
60,CRMR,30.3,17.08 m³,11.316,8.945,160906.49000000002,0.0352,0.18045,CRMR.67b.png
59,CRMR,30.3,17.08 m³,11.316,8.945,162153.34,0.0327,0.19868,CRMR.67a.png
42,CRMR,30.3,17.08 m³,5.0,10.339,155476.77,0.0335,0.17479,CRMR.61b.png
43,CRMR,30.3,17.08 m³,5.0,10.339,150985.99,0.0422,0.21924,CRMR.61c.png
44,CRMR,30.3,17.08 m³,6.053,10.339,159465.76,0.0316,0.19567,CRMR.62a.png
45,CRMR,30.3,17.08 m³,6.053,10.339,158042.78,0.034,0.17759,CRMR.62b.png
46,CRMR,30.3,17.08 m³,6.053,10.339,153630.88,0.0428,0.22284,CRMR.62c.png
47,CRMR,30.3,17.08 m³,7.105,10.339,161949.44,0.032,0.19869,CRMR.63a.png
48,CRMR,30.3,17.08 m³,7.105,10.339,160608.8,0.0346,0.1804,CRMR.63b.png
49,CRMR,30.3,17.08 m³,7.105,10.339,156275.78,0.0434,0.22644,CRMR.63c.png
50,CRMR,30.3,17.08 m³,8.158,9.907,161598.07,0.0321,0.19769,CRMR.64a.png
51,CRMR,30.3,17.08 m³,8.158,9.907,160221.22,0.0346,0.17957,CRMR.64b.png
52,CRMR,30.3,17.08 m³,8.158,9.907,155908.45,0.0434,0.22585,CRMR.64c.png
53,CRMR,30.3,17.08 m³,9.211,9.59,162109.28999999998,0.0323,0.19898,CRMR.65a.png
54,CRMR,30.3,17.08 m³,9.211,9.59,160815.71,0.0348,0.18074,CRMR.65b.png
55,CRMR,30.3,17.08 m³,9.211,9.59,156493.81,0.0436,0.22742,CRMR.65c.png
56,CRMR,30.3,17.08 m³,10.263,9.269,161854.56,0.0325,0.19917,CRMR.66a.png
57,CRMR,30.3,17.08 m³,10.263,9.269,160644.22999999998,0.035,0.1808,CRMR.66b.png
58,CRMR,30.3,17.08 m³,10.263,9.269,156289.88999999998,0.0438,0.2279,CRMR.66c.png
159,CRMR,33.7,17.08 m³,25.0,4.287,145716.05,0.035,0.16849,CRMR.100b.png
160,CRMR,33.7,17.08 m³,25.0,4.287,141954.28,0.043,0.21657,CRMR.100c.png
