id,harbour,description,country,worktype,length,depth,duration,start,finish,cost(M$),owner,contractor,consultant,Hydr.Lab,type,Hs,Tz,Tp,front armour,front (unit),front size,front slope,rear armour,rear (unit),rear size,rear slope,heigth,width,wall,comments,Lat,Lon
585,Swinoujscie Port,Swinoujscie Eastern Breakwater,Poland,New Construction,3000,0,0,0,2012,0,,Boskalis,DMC,,Rubble Mound,0.0,0.0,0.0,Xbloc,m3,2.5,1:1,,,0.0,1:0,6.0,5.5,0.0,,53.9334,14.28
193,"Funchal, Madeira",,Portugal,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,32.6417,-16.9119
194,Ponta Delgada,,Portugal,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,37.7342,-25.6648
195,Sines (1970s),West breakwater,Portugal,,0,30,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Dolos,ton,42.0,1:1.5,Rock,ton,6.0,1:1.33,19.0,0.0,0.0,,37.9467,-8.88851
196,Sines (1980s),West breakwater rebuild,Portugal,,0,30,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Antifer,ton,90.0,1:0,,ton,0.0,1:0,15.0,0.0,0.0,,37.9467,-8.88851
197,Sines Power Station Harbour,Coal harbour,Portugal,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,37.9325,-8.85674
365,Leixoes,,Portugal,,0,0,0,1884,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,ton,0.0,1:2,Cubes,ton,0.0,1:2,1.0,0.0,0.0,"1. Subject to multiple repairs, 2. Values refer to the final design",41.176,-8.703
577,Ericeira,Fishing port,Portugal,Maintenance,400,0,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Tetrapod,ton,32.0,1:1.5,Cubes,ton,0.0,1:1.5,10.2,0.0,0.0,,38.9647,-9.42218
579,Leixoes Harbour,,Portugal,Maintenance,700,0,0,0,0,0,,,,,Composite,0.0,0.0,0.0,Tetrapod,ton,40.0,1:1.33,,,0.0,1:0,15.0,0.0,7.75,The new cross-section was built on top of the olser cross-sections,41.1773,-8.71013
14,Ras Laffan,North Breakwater,Qatar,New breakwater,10000,12,0,2007,0,0,Qatar Petroleum,Boskalis-JanDeNul,Sogreah,SogreahLab,Rubble Mound,4.5,0.0,11.0,Antifer,m3,3.0,1:1.5,Rock,ton,3.0,1:1.33,8.1,0.0,0.0,,25.9,51.62
140,Ras Laffan LNG terminal,"Northern, southern & offshore breakwater",Qatar,Reinforcement,21000,0,0,2007,2009,0,,Boskalis,,,Rubble Mound,4.6,0.0,10.0,Accropode,m3,5.0,1:1.5,,,0.0,1:0,0.0,0.0,0.0,,25.9238,51.5991
141,Ras Laffan LNG terminal,,Qatar,initial breakwaters,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,0.0,1:0,,,0.0,1:0,0.0,0.0,0.0,,25.9238,51.5991
206,Halul,West breakwater,Qatar,Harbour refurbishment,512,0,0,2001,2002,18,Qatar Petroleum,Archirodon,COWI,DHI,Rubble Mound,4.4,0.0,7.0,Core-Loc,m3,2.0,1:1.33,Core-Loc,ton,0.0,1:1.33,6.5,0.0,0.0,Work included demolition of existing lee breakwater of 91m,25.6796,52.3968
323,Halul,East breakwater,Qatar,,350,10,0,2003,2005,0,,Consolidated Engineering Construction,COWI,,Rubble Mound,4.4,0.0,7.0,Core-Loc,m3,2.4,1:1.33,,ton,0.0,1:0,0.0,0.0,0.0,,25.673,52.417
324,Halul,Main breakwater,Qatar,Extension of industrial port,600,11,0,2001,2002,0,,,,,Rubble Mound,4.4,0.0,7.0,Core-Loc,m3,2.4,1:1.33,,ton,0.0,1:0,0.0,0.0,0.0,,25.67,52.416
327,Pearl,Beach breakwaters,Qatar,,0,0,0,0,0,0,United Development Company,,COWI,,Rubble Mound,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,25.365,51.581
330,Mesaieed,Wave screen of small craft berth,Qatar,,85,7,0,0,0,0,,GLF,COWI,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,24.97,51.605
305,Constantza,,Romania,Extension,0,0,0,0,0,0,,,Haskoning-Iptana JV,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,44.124,28.687
142,Jubail,,Saudi Arabia,,4562,17,0,1975,1980,0,,,,,,6.5,9.0,0.0,Stabit,ton,15.0,1:1.5,,,0.0,1:1.25,0.0,0.0,0.0,,27.0511,49.6956
207,Assir,,Saudi Arabia,,250,0,0,1995,1997,0,SWCC,Korea Heavy Industr.,EWE,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,subcontractor for offshore works: Archirodon,17.5534,42.1478
210,Dammam,,Saudi Arabia,Extension of breakwater,0,0,0,1969,0,0,Saudi Seaports,Archirodon,,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,26.4849,50.2082
392,Shoaiba,,Saudi Arabia,Power plant extension,0,2,0,2008,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Accropode,m3,2.0,1:1.5,,ton,0.0,1:0,0.0,0.0,0.0,in progress,20.681,39.516
421,Shoaiba,,Saudi Arabia,Protection of intake works,0,22,0,1999,2001,0,,,,,Rubble Mound,4.2,0.0,6.0,Accropode,m3,1.5,1:1.33,Accropode,ton,0.0,1:0,0.0,0.0,0.0,,20.618,39.552
527,Marafiq IWPP,,Saudi Arabia,,500,7,0,2008,0,0,,,,,Rubble Mound,2.1,0.0,11.0,Core-Loc,m3,0.7,1:1.33,,ton,0.0,1:0,0.0,0.0,0.0,,27.06,49.63
204,Fregat Island,Yatch harbour,Seychelles,Breakwater repair,250,5,0,2000,2000,0,,,,,Rubble Mound,4.3,0.0,15.0,Accropode,m3,2.0,1:1.8,Accropode,m3,0.0,1:0,0.0,0.0,0.0,,-4.585,55.948
143,East London,,South Africa,,0,7,0,0,1964,0,,,,,,8.5,12.0,0.0,Dolos,ton,17.0,1:1.25,,,0.0,1:0,0.0,0.0,0.0,,-33.0301,27.9197
144,Richards Bay,,South Africa,,0,16,0,1973,1976,0,,,,,,7.2,12.0,0.0,Dolos,ton,20.0,1:1.5,,,0.0,1:1.5,0.0,0.0,0.0,,-28.8105,32.0954
145,Cape Town - Club Mykonos Marina,,South Africa,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,Accropode,,0.0,1:0,,,0.0,1:0,0.0,0.0,0.0,,-33.9017,18.4256
198,Coega,,South Africa,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,-33.8064,25.697
495,"Lynch point marina, Langebaan",Main breakwater,South Africa,,5,0,0,1987,1988,0,,,,,Rubble Mound,4.2,0.0,13.0,Accropode,m3,4.0,1:1.33,,ton,0.0,1:0,0.0,0.0,0.0,,-33.075,18.035
553,Yzerfontein,,South Africa,Maintenance,150,0,0,0,0,0,,,E2C,,Rubble Mound,0.0,0.0,0.0,Dolos,ton,20.0,1:1.5,Rock,,0.0,1:1.33,0.0,12.0,0.0,,-33.3455,18.1487
560,Mukho Port,North Breakwater,South Korea,New construction,370,10,0,0,0,0,,,,,Rubble Mound,6.1,0.0,14.0,Tetrapod,ton,20.0,1:2,Tetrapod,ton,8.0,1:1.5,7.5,12.0,1.0,,37.5823,129.114
561,Jeju Port,West Breakwater,South Korea,New construction,1800,15,0,0,0,0,,,,,Rubble Mound,6.0,0.0,12.0,Tetrapod,ton,20.0,1:1.5,rock,ton,2.5,1:2,5.0,13.0,1.0,,33.525,126.535
562,Hupo Port,East Breakwater,South Korea,New construction,525,14,0,0,0,0,,,,,Rubble Mound,6.7,0.0,14.0,Tetrapod,ton,32.0,1:1.5,rock,ton,2.5,1:1.5,4.0,12.0,0.5,,36.6761,129.454
563,Hwasun Port,,South Korea,New construction,0,16,0,0,0,0,,,,,Rubble Mound,9.4,0.0,15.0,Tetrapod,ton,64.0,1:1.5,rock,ton,2.5,1:1.5,11.5,26.2,1.5,,33.2341,126.33
564,Sokcho Port,,South Korea,New construction,920,13,0,0,0,0,,,,,Rubble Mound,6.5,0.0,14.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,10.0,0.0,,38.2063,128.603
565,Okgye Port,,South Korea,New construction,1000,15,0,0,0,0,,,,,Rubble Mound,6.2,0.0,14.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,9.0,0.0,,37.6244,129.061
566,Donghae Port,North Breakwater,South Korea,New construction,1350,14,0,0,0,0,,,,,Rubble Mound,7.4,0.0,13.0,Tetrapod,ton,0.0,1:0,Tetrapod,ton,0.0,1:0,0.0,9.0,0.0,,37.5453,129.118
567,Samcheok Port,East Breakwater,South Korea,New construction,1100,7,0,0,0,0,,,,,Rubble Mound,4.9,0.0,14.0,Tetrapod,ton,0.0,1:0,Tetrapod,ton,0.0,1:0,0.0,12.0,0.0,,37.4351,129.194
568,Pohang Port,East Breakwater,South Korea,New construction,720,13,0,0,0,0,,,,,Rubble Mound,5.6,0.0,10.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,9.0,0.0,,36.0491,129.382
569,Samchunpo Port,South Breakwater,South Korea,New construction,1200,16,0,0,0,0,,,,,Rubble Mound,5.4,0.0,14.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,9.0,0.0,,34.9014,128.108
570,Jangseungpo Port,,South Korea,New construction,440,3,0,0,0,0,,,,,Rubble Mound,4.5,0.0,12.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,7.0,0.0,,34.8384,128.721
571,Okpo Port,South Breakwater,South Korea,New construction,900,18,0,0,0,0,,,,,Rubble Mound,3.5,0.0,7.5,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,6.0,0.0,,34.891,128.723
572,Seogwipo Port,East Breakwater,South Korea,New construction,450,23,0,0,0,0,,,,,Rubble Mound,8.8,0.0,12.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,0.0,0.0,,33.2353,126.57
573,Jumunjin Port,North Breakwater,South Korea,New construction,950,9,0,0,0,0,,,,,Rubble Mound,4.7,0.0,14.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,7.0,0.0,,37.8894,128.833
