CaseNo,type,slope,class armour,B,Rc,material_cost,img
9,CRMR,18.4,11.67 m³,9.211,8.899,42795.79,CRMR.5a.png
10,CRMR,18.4,11.67 m³,9.211,8.899,44440.3,CRMR.5b.png
11,CRMR,18.4,11.67 m³,10.263,8.582,42815.51,CRMR.6a.png
12,CRMR,18.4,11.67 m³,10.263,8.582,44461.02,CRMR.6b.png
13,CRMR,18.4,11.67 m³,11.316,8.262,42830.89,CRMR.7a.png
29,CRMR,18.4,11.67 m³,19.737,5.538,42756.56,CRMR.15a.png
14,CRMR,18.4,11.67 m³,11.316,8.262,44477.18,CRMR.7b.png
16,CRMR,18.4,11.67 m³,12.368,7.938,44488.5,CRMR.8b.png
17,CRMR,18.4,11.67 m³,13.421,7.609,42847.54,CRMR.9a.png
18,CRMR,18.4,11.67 m³,13.421,7.609,44494.66,CRMR.9b.png
19,CRMR,18.4,11.67 m³,14.474,7.277,42848.15,CRMR.10a.png
20,CRMR,18.4,11.67 m³,14.474,7.277,44495.31,CRMR.10b.png
21,CRMR,18.4,11.67 m³,15.526,6.94,42843.12,CRMR.11a.png
22,CRMR,18.4,11.67 m³,15.526,6.94,44490.03,CRMR.11b.png
23,CRMR,18.4,11.67 m³,16.579,6.598,42832.01,CRMR.12a.png
24,CRMR,18.4,11.67 m³,16.579,6.598,44478.35,CRMR.12b.png
25,CRMR,18.4,11.67 m³,17.632,6.251,42814.29,CRMR.13a.png
26,CRMR,18.4,11.67 m³,17.632,6.251,44459.74,CRMR.13b.png
27,CRMR,18.4,11.67 m³,18.684,5.897,42789.38,CRMR.14a.png
15,CRMR,18.4,11.67 m³,12.368,7.938,42841.67,CRMR.8a.png
59,CRMR,22.6,11.67 m³,14.474,7.95,36862.91,CRMR.30a.png
60,CRMR,22.6,11.67 m³,14.474,7.95,38317.37,CRMR.30b.png
61,CRMR,22.6,11.67 m³,15.526,7.611,36928.24,CRMR.31a.png
93,CRMR,26.6,14.58 m³,11.316,8.945,34197.27,CRMR.47a.png
94,CRMR,26.6,14.58 m³,11.316,8.945,35440.2,CRMR.47b.png
95,CRMR,26.6,14.58 m³,12.368,8.617,34329.47,CRMR.48a.png
96,CRMR,26.6,14.58 m³,12.368,8.617,35578.65,CRMR.48b.png
97,CRMR,26.6,14.58 m³,13.421,8.286,34458.18,CRMR.49a.png
98,CRMR,26.6,14.58 m³,13.421,8.286,35713.44,CRMR.49b.png
99,CRMR,26.6,14.58 m³,14.474,7.95,34583.17,CRMR.50a.png
100,CRMR,26.6,14.58 m³,14.474,7.95,35844.34,CRMR.50b.png
101,CRMR,26.6,14.58 m³,15.526,7.611,34704.17,CRMR.51a.png
102,CRMR,26.6,14.58 m³,15.526,7.611,35971.06,CRMR.51b.png
103,CRMR,26.6,14.58 m³,16.579,7.266,34820.92,CRMR.52a.png
104,CRMR,26.6,14.58 m³,16.579,7.266,36093.33,CRMR.52b.png
92,CRMR,26.6,14.58 m³,10.263,9.269,35298.3,CRMR.46b.png
105,CRMR,26.6,14.58 m³,17.632,6.917,34933.07,CRMR.53a.png
107,CRMR,26.6,14.58 m³,18.684,6.562,35040.25,CRMR.54a.png
